EventID,RecordID,EventDateTime,UserRole,ActionType,DeviceType,ProcessingTimeMinutes,RequirementID
E001,R001,2026-07-15 09:15,Student,SubmitReport,Mobile,4,FR-03
E002,R001,2026-07-15 09:20,Admin,AdminReview,Laptop,8,FR-09
E003,R001,2026-07-16 10:10,Admin,UpdateStatus,Laptop,5,FR-08
E004,R002,2026-07-15 12:25,Student,SubmitReport,Mobile,6,FR-03
E005,R002,2026-07-16 13:20,Student,SearchRecord,Mobile,2,FR-06
E006,R002,2026-07-18 14:00,Admin,UpdateStatus,Desktop,3,FR-08
E007,R003,2026-07-16 08:30,Staff,SubmitReport,Desktop,5,FR-08
E008,R004,2026-07-16 11:45,Admin,SubmitReport,Laptop,4,FR-05
E009,R004,2026-07-20 16:10,Admin,UpdateStatus,Laptop,6,FR-08
E010,R005,2026-07-17 10:00,Admin,SubmitReport,Desktop,3,FR-06
E011,R006,2026-07-18 09:00,Student,SubmitReport,Mobile,2,FR-01
E012,R007,2026-07-18 11:15,Student,SubmitReport,Mobile,5,FR-01
E013,R007,2026-07-21 15:30,Admin,UpdateStatus,Desktop,4,FR-08
E014,R008,2026-07-19 13:20,Admin,SubmitReport,Laptop,3,FR-02
E015,R008,2026-07-22 10:00,Admin,UpdateStatus,Laptop,5,FR-08
E016,R009,2026-07-19 14:10,Student,SubmitReport,Mobile,2,FR-01
E017,R010,2026-07-20 08:45,Student,SubmitReport,Mobile,3,FR-01
E018,R010,2026-07-21 11:00,Admin,UpdateStatus,Desktop,2,FR-08
E019,R011,2026-07-20 12:30,Student,SubmitReport,Mobile,4,FR-01
E020,R012,2026-07-21 09:10,Admin,SubmitReport,Desktop,5,FR-08
E021,R012,2026-07-23 14:00,Admin,UpdateStatus,Desktop,3,FR-08
E022,R013,2026-07-21 16:20,Student,SubmitReport,Mobile,2,FR-01
E023,R014,2026-07-22 10:05,Student,SubmitReport,Mobile,4,FR-01
E024,R014,2026-07-24 11:30,Admin,UpdateStatus,Desktop,3,FR-08
E025,R015,2026-07-22 15:00,Admin,SubmitReport,Laptop,5,FR-02
E026,R015,2026-07-25 09:30,Admin,UpdateStatus,Laptop,4,FR-08
E027,R001,2026-07-15 10:00,Student,SearchRecord,Mobile,1,FR-03
E028,R003,2026-07-16 09:00,Student,SearchRecord,Mobile,2,FR-03
E029,R005,2026-07-17 11:00,Student,SearchRecord,Mobile,1,FR-03
E030,R007,2026-07-18 12:00,Student,SearchRecord,Mobile,2,FR-03
E031,R009,2026-07-19 15:00,Student,SearchRecord,Mobile,1,FR-03
E032,R011,2026-07-20 13:00,Student,ViewDashboard,Desktop,3,FR-09
E033,R013,2026-07-21 17:00,Student,ViewDashboard,Mobile,2,FR-09
E034,R002,2026-07-17 10:30,Admin,AdminReview,Desktop,8,FR-09
E035,R007,2026-07-20 14:20,Admin,AdminReview,Desktop,7,FR-09
E036,R014,2026-07-23 16:00,Admin,AdminReview,Desktop,6,FR-09
